what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486588777887
java.specification.name,sysinfo,,,"Java Platform API Specification",1486588777887
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486588777887
java.specification.version,sysinfo,,,"1.6",1486588777887
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486588777887
java.version,sysinfo,,,"1.6.0_23",1486588777887
java.vm.info,sysinfo,,,"mixed mode",1486588777887
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1486588777887
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486588777887
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486588777887
java.vm.specification.version,sysinfo,,,"1.0",1486588777887
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486588777887
java.vm.version,sysinfo,,,"19.0-b09",1486588777887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486588780841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486588783983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486588831213
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588844950
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588844987
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1486588845550
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1486588848592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486588862846
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588866646
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588866662
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588887346
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588887360
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588891018
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588906569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486588910715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486588911234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486588919721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486588920250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486588927251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486588934785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486588936334
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588942870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1486588947113
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588948149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1486588950723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486588958251
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486588981263
