what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485988903806
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485988903817
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485988910030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485988931377
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485988944549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988947564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988967426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988971743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988972171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988975126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988975573
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1485988979113
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485988992059
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1485988992075
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485988993826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485988997844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989088856
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485989091111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989095080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989099193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989104298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989123649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989127287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989174003
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485989178531
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485989179038
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485989182927
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989205161
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989205192
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989205192
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989206533
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989207317
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989209030
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989209067
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989210081
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989210082
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485989225217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989228694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989238096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989260035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989273062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989275919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989276268
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989282679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485989294594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485989295882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989297044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989297343
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1485989300284
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485989303418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989305714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989309855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989315151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989334428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989337207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989393421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989395022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989410178
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485989416377
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485989416854
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485989423542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989512810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485989927293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989950780
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485989997236
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989997316
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485989997350
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485989997358
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1485990000610
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485990006828
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485990006862
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1485990006905
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485990023685
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1485990023697
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485990155372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485990163919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485990804675
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485990806237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485990808660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485990810139
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485990810152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485990810812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992487745
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485992491567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992494486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992498032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992503438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992558373
error,log,,,"Unable to validate connection settings.",1485992571355
error,log,,,"Unable to validate connection settings.",1485992571364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992571414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992573966
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1485992579003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992579149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992588509
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485992589299
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1485992590567
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1485992594412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992626491
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485992627687
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1485992628046
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1485992628047
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1485992628047
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1485992629048
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1485992629048
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1485992629048
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1485992629048
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1485992629048
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1485992629048
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1485992629049
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1485992629049
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1485992629049
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1485992629049
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1485992629049
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1485992629049
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1485992629050
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1485992629050
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1485992629050
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1485992629050
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1485992629050
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1485992629050
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1485992629051
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1485992629051
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1485992629051
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1485992629051
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1485992629051
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1485992629051
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1485992629052
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1485992629052
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1485992629052
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1485992629052
