what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1486492377686
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1486492377687
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1486492377692
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1486492377699
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1486492377701
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486492377702
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486492377709
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486492377714
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1486492377715
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1486492377715
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1486492377716
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1486492377716
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1486492377716
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1486492377717
os,sysinfo,,,"linux",1486492377720
arch,sysinfo,,,"x86",1486492377720
ws,sysinfo,,,"gtk",1486492377720
locale,sysinfo,,,"en_US",1486492377720
processors,sysinfo,,,"8",1486492377720
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486492377720
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486492377720
java.specification.name,sysinfo,,,"Java Platform API Specification",1486492377720
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486492377720
java.specification.version,sysinfo,,,"1.6",1486492377720
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486492377720
java.version,sysinfo,,,"1.6.0_23",1486492377720
java.vm.info,sysinfo,,,"mixed mode",1486492377720
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1486492377720
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486492377720
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486492377720
java.vm.specification.version,sysinfo,,,"1.0",1486492377720
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486492377720
java.vm.version,sysinfo,,,"19.0-b09",1486492377720
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1486492377902
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1486492403002
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403026
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403046
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403055
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403055
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1486492403825
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403856
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403875
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403887
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492403887
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1486492404707
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492404739
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492404759
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492404769
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492404769
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1486492405551
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492405578
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492405600
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492405608
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486492405608
