what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486060178594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060178599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060194318
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486060196423
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486060200569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060201566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060201712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060213798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060222253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486060227581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1486060227581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486060237719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486060239664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060239671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060246322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486060252139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1486060252139
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486060257683
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486060257713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060309495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060357015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060357868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060364439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060371735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486060380360
