what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066780777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066783027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066784818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066784855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066785578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066800454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066800861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066803085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066803533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066813889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066828473
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486066830245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486066869069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486066884205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066895492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066898938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066898964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066899139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066901643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066903692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066906445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066907653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066910513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066940023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066944524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486066945654
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486066974301
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486066974348
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486066974361
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486066982198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486067051758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067051762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067058319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486067064851
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067068785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067070351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067070620
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067093158
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067093172
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067093182
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067095264
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067103912
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067103996
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067104006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067104014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067108764
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067108780
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067108781
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1486067108790
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067111703
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067111779
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067111791
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067111801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067115643
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067115657
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067115658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486067118882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067118887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067121927
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067122934
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067122934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486067124815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067124822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067135823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067154057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067213677
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067216295
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486067222621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067256774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067264293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486067267236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486067269258
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486067273098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067274848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486067275350
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1486067278826
